id;scientific name;scientific name authorship;genus;family;order and higher taxonomic rank;decimal Longitude;decimal Latitude;depth;year;campaign;reference;vessel;basisOfRecord;
310;Dermechinus_horridus;(A. Agassiz 1879);Dermechinus Mortensen 1942;Echinidae Gray 1825;Camarodonta Jackson 1912;71.000000;-49.000000;203;1898;Deutsche Tiefsee Expedition;Doderlein 1906;Valdivia;preservedSpecimen;
58;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;69.750000;-49.250000;1;1898;Deutsche Tiefsee Expedition;Doderlein 1906;Valdivia;preservedSpecimen;
73;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;70.016667;-48.966667;88;1898;Deutsche Tiefsee Expedition;Doderlein 1906;Valdivia;preservedSpecimen;
286;Ctenocidaris_nutrix;(Thomson 1876);Ctenocidaris Mortensen 1910;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;71.442167;-52.069000;289;2003;Southern Champion Cruise 26;Pierrat et al. 2012;Southern Champion;preservedSpecimen;
152;Brisaster_antarcticus;(Doderlein 1906);Brisaster Gray 1855;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;72.853333;-52.437333;282;2003;Southern Champion Cruise 26;Pierrat et al. 2012;Southern Champion;preservedSpecimen;
338;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;73.378333;-52.995833;60;1985;1985 ANARE Expedition;Burton & Williams 1985;Nella Dan;preservedSpecimen;
432;Sterechinus_neumayeri;(Meissner 1900);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;73.090833;-53.108333;200;1985;1985 ANARE Expedition;Burton & Williams 1985;Nella Dan;preservedSpecimen;
322;Rhynchocidaris_triplopora;Mortensen 1909;Rhynchocidaris Mortensen 1909;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;73.090833;-53.108333;200;1985;1985 ANARE Expedition;Burton & Williams 1985;Nella Dan;preservedSpecimen;
323;Rhynchocidaris_triplopora;Mortensen 1909;Rhynchocidaris Mortensen 1909;Ctenocidarinae Mortensen 1928;Cidaroida Claus 1880;73.125000;-53.171667;201;1985;1985 ANARE Expedition;Burton & Williams 1985;Nella Dan;preservedSpecimen;
435;Tripylus_abatoides;(HL Clark 1925);Tripylus Philippi 1845;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;73.825833;-53.015833;89;1985;1985 ANARE Expedition;Burton & Williams 1985;Nella Dan;preservedSpecimen;
394;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;69.935000;-49.400000;15;1962-63;Kerguelen 1962-63;Grua 1963;NA;preservedSpecimen;
405;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;70.109615;-49.471669;15;1962-63;Kerguelen 1962-63;Grua 1963;NA;preservedSpecimen;
407;Sterechinus_diadema;(Studer 1876);Sterechinus Koehler 1901;Echinidae Gray 1825;Camarodonta Jackson 1912;70.221968;-49.355939;25;1962-63;Kerguelen 1962-63;Grua 1963;NA;preservedSpecimen;
63;Abatus_cordatus;(Verrill 1876);Abatus Troschel 1851;Schizasteridae Lambert 1905;Spatangoida L. Agassiz 1840;69.815000;-49.345000;1;1962-63;Kerguelen 1962-63;Grua 1963;NA;preservedSpecimen;
