id;latitude;longitude;depth;seasurface_temperature_mean_1965_1974;seasurface_temperature_amplitude_1965_1974;seafloor_temperature_mean_1965_1974;seafloor_temperature_amplitude_1965_1974;seasurface_salinity_mean_1965_1974;seasurface_salinity_amplitude_1965_1974;seafloor_salinity_mean_1965_1974;seafloor_salinity_amplitude_1965_1974;chlorophyla_summer_mean_2002_2009;geomorphology;sediments;slope;seafloor_oxygen_mean_1955_2012;roughness
1;67.15;-48.95;-653;5.015510082;-2.263289928;NA;NA;33.80918884;0.008998871;NA;NA;0.20658496;14;4;0.0395847;NA;836
1;67.35;-49.45;-204;4.710595131;-2.120599747;NA;NA;33.81299973;0.004623413;NA;NA;0.188862145;14;4;0.019361768;5.134254456;651
1;67.55;-49.05;-168;4.83695507;-2.145110369;3.081550121;-0.760494947;33.80721283;0.005420685;33.85534668;-0.041248322;0.223539323;2;4;0.001245666;7.306287766;107
1;67.55;-48.15;-355;5.232610226;-2.18042016;NA;NA;33.78569031;0.011074066;NA;NA;0.216000542;14;4;0.008155563;5.363189697;160
1;67.85;-49.45;-136;4.697199821;-2.136210203;2.375500202;-0.041344881;33.80591202;0.004501343;33.91074371;-0.078933716;0.258054286;14;4;0.001689604;7.094408035;86
1;68.05;-49.05;-155;4.794650078;-2.144689798;2.530210018;-0.12370491;33.79948807;0.002399445;33.92910767;-0.075950623;0.440552711;2;4;0.00183725;7.077194214;45
1;68.15;-49.45;-194;4.669310093;-2.16858983;2.533590078;-0.08062005;33.80211258;0.004077911;34.03158951;-0.109020233;0.501955211;2;4;0.003610577;NA;70
1;68.25;-50.15;-338;4.501110077;-2.02445507;2.336060047;0.027184963;33.81549835;-0.004707336;34.30764008;-0.011558533;0.191478193;14;4;0.039995898;4.967144489;962
1;68.45;-50.15;-217;4.501110077;-2.04970026;2.190895081;-0.105450153;33.81431198;-0.003612518;34.17469788;0.014640808;0.192611113;2;4;0.024568154;5.777100086;765
1;68.45;-50.05;-190;4.501110077;-2.04970026;1.988999963;-0.154604912;33.81431198;-0.003612518;33.93994904;-0.024654388;0.22242251;2;4;0.003283963;6.994777679;169
1;68.55;-48.65;-55;4.895295143;-2.058309793;NA;NA;33.76781082;-0.005897522;NA;NA;0.590884268;NA;4;0.003568829;7.165735245;92
1;68.75;-48.75;-51;4.882947922;-2.071544886;3.38677001;-0.554822445;33.75980377;-0.010761261;33.82919312;-0.041576385;0.478705466;NA;4;0.007300873;7.294316292;94
1;68.85;-49.95;-149;4.51928997;-2.304990053;2.384089947;-0.847309947;33.77891159;0.008823395;33.82091141;0.005825043;0.353283495;2;4;0.00120342;7.263298988;66
1;69.05;-48.05;-121;5.092710018;-2.188589811;NA;NA;33.74541092;-0.019023895;NA;NA;0.575878203;2;4;0.000590114;NA;46
1;69.35;-49.65;-70;4.659200191;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0.033334084;NA;114
1;69.75;-49.75;-82;4.603858948;-2.393759966;2.958300114;-2.051417351;33.78941345;0.0259552;33.81505585;0.034034729;NA;2;4;0.019518195;NA;104
1;69.75;-49.95;-164;4.549942493;-2.393759966;NA;NA;33.78941345;0.0259552;NA;NA;0.438768297;2;4;0.003146775;NA;74
1;69.85;-50.05;-161;4.558594704;-2.272379875;2.316709995;-0.577509999;33.84008789;0.033813477;33.95121002;0.014602661;0.293127865;2;4;0.001221217;7.026675701;43
1;70.25;-49.75;-98;4.614700317;-2.359085083;2.723450184;-2.170489788;33.84223938;0.031505585;33.86557007;0.029960632;0.6312657;2;4;0.008400155;NA;89
1;70.35;-49.85;-129;4.575900078;-2.333390236;2.390100002;-1.574899912;33.85939026;0.034809113;33.89174271;0.037601471;0.367963493;2;4;0.003082325;NA;79
1;70.35;-49.45;-20;4.65350008;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;0.005418347;NA;52
1;70.45;-49.95;-177;4.575900078;-2.333390236;1.87035501;-0.612794995;33.85939026;0.034809113;33.91429901;0.022640228;0.238511011;2;4;0.007428507;NA;195
1;70.55;-49.45;-75;4.659090042;-2.468999863;2.732649803;-2.316049814;33.86831284;0.037677765;33.89074707;0.040096283;1.078330517;2;4;0.004612702;NA;95
1;70.55;-50.05;-324;4.60051012;-2.207699776;2.059909821;-0.115639806;33.89479828;0.045490265;34.14138794;0.125396729;0.213671297;14;4;0.011194745;5.973642349;356
1;70.65;-49.45;-70;4.659090042;-2.468999863;NA;NA;33.86831284;0.037677765;NA;NA;0.755000412;2;4;0.003483695;NA;116
1;70.65;-49.05;-54;4.732640266;-2.48761034;NA;NA;33.87828827;0.039600372;NA;NA;1.06662178;2;4;0.001031204;NA;50
1;70.75;-49.05;-80;4.732640266;-2.475000143;NA;NA;33.86730194;0.040061951;NA;NA;0.961365759;2;4;0.007334126;NA;223
1;70.85;-48.95;-128;4.806190014;-2.503290176;3.020760059;-2.132045269;33.82388687;0.030002594;33.84314728;0.022510529;0.641715646;14;4;0.026067093;7.522607803;480
1;70.95;-49.55;-231;4.659090042;-2.355080128;2.179559946;-1.142785072;33.87799835;0.041610718;33.93779755;0.018486023;0.267981023;2;4;0.02424369;NA;387
